NIS;CATEGORIA;TIPO;RUBRO;DENOMINACION;PROVINCIA;PARTIDO;LOCALIDAD;CALLE;NUMERO;TITULAR;DDN;TELEFONO1;FAX;AREA;ZONA;NIS DEPENDENCIA;NOMBRE DEPENDENCIA;REGION;CATEGORIA DE SUCURSAL;EN RED;LIQUIDACION;EXENTO;DIVISION;SOCIEDAD;ALMACEN;CENTRO DE BENEFICIO;OFICINA DE CARGA DE CCT/ADMIN;CENTRO DE COSTO COMERCIAL;CENTRO DE COSTO COMERCIAL CORPORATIVO;CENTRO DE COSTO ELECTORAL;CENTRO DE COSTO GESTION DE RED;CENTRO DE COSTO OPERACIONES;CENTRO DE COSTO OPERATIVO;CENTRO DE COSTO RRHH;CENTRO DE COSTO SEGURIDAD;CENTRO DE COSTO ADMINISTRCION;CENTRO DE COSTO ADMISION;CENTRO DE COSTO CTP;CENTRO DE COSTO CTT;CENTRO DE COSTO TRANSPORTE;CENTRO DE COSTO LOGISTICA;Punto de Venta AUTO/AUTO;Punto de Venta CUENTA CORRIENTE;Punto de Venta MANUAL;Punto de Venta MANUAL/AUTO;Punto de Venta PLANTA MONTE GRANDE;Punto de Venta VIRTUAL;Punto de venta AUTO/AUTO;Punto de venta TERMINAL CARGA SAP;PAQAR_ADMISION;PAQAR_ENTREGA
B6550;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;PABLO NOGUES ELIMAR;BUENOS AIRES        ;MALVINAS ARGENTINAS           ;PABLO NOGUES;PATRICIAS MENDOCINAS                                                                        ;602;ELIANA GISELE CASTAGNOLA;11;;;METROPOLITANA                 ;ZONA 6;B0040;LOS POLVORINES                ;METROPOLITANA                 ;C;  ;;;4184;;;9250278184;;71025184;;;;;;;;;;;;;;;;;;;;;9213;X;X
B6551;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;VILLA BOSCH HELADERIA KU - KU;BUENOS AIRES        ;TRES DE FEBRERO               ;VILLA BOSCH;SANTOS VEGA                                                                                 ;7415;ANGEL CARLOS EZEQUIEL SARMORIA;11;;;METROPOLITANA                 ;ZONA 5;B0007;LOMA HERMOSA                  ;METROPOLITANA                 ;C;  ;;;4183;;;9253128183;;71025183;;;;;;;;;;;;;;;;;;;;;9219;X;X
B6552;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;GLEW TABLEROS ONLINE CASA 22;BUENOS AIRES        ;ALMIRANTE BROWN               ;GLEW;ETCHEVERRY INTENDENTE                                                                       ;2934;RODRIGUEZ ALEXIS GABRIEL;2224;;;METROPOLITANA                 ;ZONA 3;B0101;GLEW                          ;METROPOLITANA                 ;C;  ;;;4354;;;9250204354;;71025354;;;;;;;;;;;;;;;;;;;;;9230;X;X
B6553;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;LA PLATA UP NRO 146;BUENOS AIRES        ;LA PLATA                      ;SAN CARLOS;511 BIS                                                                                     ;0;LOPES SONIA JIMENA;;;;BUENOS AIRES - LA PAMPA       ;ZONA 1;B0280;MANUEL B. GONNET              ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B313;;;9020266313;;71002313;;;;;;;;;;;;;;;;;;;;;9231;X;X
B6554;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;LA PLATA UP NRO 147;BUENOS AIRES        ;LA PLATA                      ;LA PLATA;74;1364;PABLO ESTEBAN SUAREZ;;;;BUENOS AIRES - LA PAMPA       ;ZONA 1;B3413;LA PLATA 2                    ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B442;;;9020266442;;71002442;;;;;;;;;;;;;;;;;;;;;9232;X;X
B6555;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;BOULOGNE PAPELERA NAVARRO;BUENOS AIRES        ;SAN ISIDRO                    ;BOULOGNE;PICHINCHA                                                                                   ;343;KARINA ALEJANDRA NAVARRO;11;;;METROPOLITANA                 ;ZONA 6;B0032;BOULOGNE                      ;METROPOLITANA                 ;C;  ;;;4113;;;9253115113;;71025113;;;;;;;;;;;;;;;;;;;;;9234;X;X
B6556;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;BELLA VISTA OPTIMA LIBRERIA;BUENOS AIRES        ;SAN MIGUEL                    ;BELLA VISTA;SOURDEAUX                                                                                   ;350;LEONARDO RAMON GOMEZ;11;;;METROPOLITANA                 ;ZONA 5;B0031;BELLA VISTA                   ;METROPOLITANA                 ;C;  ;;;4111;;;9253116111;;71025111;;;;;;;;;;;;;;;;;;;;;9235;X;X
B6557;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;R ESCA HORUS COTILLON Y ESCEN.;BUENOS AIRES        ;LANUS                         ;REMEDIOS DE ESCALADA;HORNOS GENERAL                                                                              ;1449;JORGE ANTONIO SANTOS;11;;;METROPOLITANA                 ;ZONA 3;B0078;REMEDIOS DE ESCALADA          ;METROPOLITANA                 ;C;  ;;;4435;;;9250267435;;71025435;;;;;;;;;;;;;;;;;;;;;9242;X;X
B6558;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;CARMEN DE ARECO UP NRO 5;BUENOS AIRES        ;CARMEN DE ARECO               ;CARMEN DE ARECO;RIVADAVIA                                                                                   ;802;MATIAS MIGUEL PINTZAS;;;;BUENOS AIRES - LA PAMPA       ;ZONA 4;B0325;CARMEN DE ARECO               ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B172;;;9020222172;;71002172;;;;;;;;;;;;;;;;;;;;;9249;X;X
B6559;UNIDAD POSTAL                 ;UP;PUNTO CORREO COMERCIAL;SAN VICENTE UP NRO 4;BUENOS AIRES        ;SAN VICENTE                   ;SAN VICENTE;25 DE MAYO                                                                                  ;44;FRAZEN EDGARDO DVID;;;;BUENOS AIRES - LA PAMPA       ;ZONA 1;B0976;SAN VICENTE                   ;BUENOS AIRES - LA PAMPA       ;C;  ;;;B428;;;9023119428;;71002428;;;;;;;;;;;;;;;;;;;;;9250;X;X
